LocationID,Name,Latitude,Longitude
1,Hume Hall,29.6443,-82.3519
2,Graham Hall,29.64628399,-82.35081565
3,Broward Hall,29.64659157,-82.34196152
4,Rawlings Hall,29.64634357,-82.34291781
5,J. Wayne Reitz Union,29.64643796,-82.34748643
6,Marston Science Library,29.64822862,-82.34359078
7,Computer Science & Engineering,29.64843275,-82.34391961
8,The Hub,29.64819936,-82.34553077
9,Ben Hill Griffin Stadium,29.65024899,-82.34870306
10,Library West,29.65139297,-82.34246792
11,Smathers Library,29.65106016,-82.34169273
12,Plaza of the Americas,29.65073166,-82.34286914
13,Century Tower,29.64887961,-82.34328178
14,Turlington Hall,29.64904496,-82.34406619
15,Newell Hall,29.6491073,-82.34485948
16,Weil Hall,29.64862651,-82.34804076
17,Little Hall,29.6488981,-82.34040762
18,Norman Hall,29.64715521,-82.3380455
19,Beaty Towers,29.64414761,-82.34070709
20,McCarty Hall A,29.647168,-82.34449756
21,University Auditorium,29.649706,-82.341303
22,Heavener Hall of Business,29.6520271,-82.33952335
23,Carleton Auditorium,29.64907401,-82.34167686
24,Grinter Hall,29.64936379,-82.34173877
25,Matherly Hall,29.65171126,-82.34061357
26,Fine Arts Complex,29.64809512,-82.34060872
27,Peabody Hall,29.65032177,-82.34183246
28,Walker Hall,29.64942165,-82.34145432
29,Rolfs Hall,29.64932892,-82.34450364
30,Criser Hall,29.6501803,-82.34154958
31,Tigert Hall,29.64956817,-82.33996084
32,Florida Gymnasium,29.6497849,-82.34738058
33,Levin College of Law,29.65025485,-82.3585031
34,Gerson Hall,29.65121545,-82.34012376
35,Pugh Hall,29.64953943,-82.345464
36,Dauer Hall,29.65048503,-82.34314373
37,Keene-Flint Hall,29.649702,-82.345903
38,Anderson Hall,29.65169382,-82.34178897
39,Music Building,29.64825638,-82.34289276
40,Architecture Building,29.647808,-82.34168004
41,Bryan Hall,29.65138609,-82.34012014
42,Williamson Hall,29.64776162,-82.34645816
43,Malachowsky Hall,29.64403748,-82.34788012
44,Chemical Engineering Building,29.64287802,-82.34803972
45,Benton Hall,29.64341806,-82.34765084
46,Larsen Hall,29.64314077,-82.34746677
47,Nuclear Sciences Building,29.64788146,-82.3476714
48,Rhines Hall,29.64827215,-82.34917419
49,New Engineering Building,29.64245641,-82.3470967
50,Jennings Hall,29.64408787,-82.34194656
51,Murphree Hall,29.65167945,-82.34649463
52,Buckman Hall,29.65135675,-82.34503497
53,Fletcher Hall,29.65200844,-82.34519506
54,Tolbert Hall,29.64853075,-82.35044232
55,Keys Residential Complex,29.64778547,-82.35441272
56,New Physics Building,29.64405604,-82.34980774
